"participant","age","gender","exclude","IAT_condition","task_order","IAT_D1","SCIAT_D1","rmts_perc_acc","rmts_mastery","mean_rating","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","SCIAT_mean_RT","SCIAT_perc_acc","SCIAT_exclude_based_on_fast_trials"
442964686,34,"male",FALSE,"Insects-Chinese IAT","rmts first",-0.428,0.02,56.2,"fail",4.5,1057,88.33,FALSE,723,86,FALSE
443727950,26,"male",FALSE,"Insects-Chinese IAT","rmts first",0.002,-0.348,50,"fail",4.67,746,92.5,FALSE,687,95.33,FALSE
445154297,54,"male",FALSE,"Flowers-Chinese IAT","rmts first",0.299,-0.192,12.5,"fail",3.83,707,97.5,FALSE,674,100,FALSE
452657010,25,"male",FALSE,"Flowers-Chinese IAT","rmts first",-1.09,-0.118,50,"fail",4,842,84.17,FALSE,547,96.67,FALSE
453635385,55,"female",FALSE,"Flowers-Chinese IAT","rmts first",-0.447,0.202,6.2,"fail",4,773,98.33,FALSE,671,98,FALSE
453917922,39,"male",FALSE,"Flowers-Chinese IAT","rmts first",-1.206,-0.207,0,"fail",4,770,100,FALSE,597,98.67,FALSE
455114621,26,"female",FALSE,"Insects-Chinese IAT","rmts first",-0.421,0.393,43.8,"fail",4.17,778,96.67,FALSE,678,98,FALSE
455843278,25,"male",FALSE,"Insects-Chinese IAT","rmts first",0.267,-0.128,81.2,"fail",3.83,686,81.67,FALSE,586,94,FALSE
457060596,34,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.999,0.081,18.8,"fail",4.5,845,95,FALSE,595,98,FALSE
457149023,43,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.007,-0.04,43.8,"fail",5,656,100,FALSE,570,99.33,FALSE
458687872,22,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.553,0.09,50,"fail",4.5,769,86.67,FALSE,676,94,FALSE
462816825,54,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.485,-0.394,93.8,"pass",3.5,748,96.67,FALSE,677,96.67,FALSE
465932169,32,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.912,-0.119,81.2,"fail",4,802,90.83,FALSE,627,96.67,FALSE
466011057,50,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.289,0.507,56.2,"fail",3.83,590,92.5,FALSE,546,96,FALSE
467840940,21,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.837,-0.505,50,"fail",4,685,88.33,FALSE,616,91.33,FALSE
470524118,54,"female",FALSE,"Insects-Chinese IAT","rmts first",0.308,-0.088,43.8,"fail",4,1034,96.67,FALSE,615,95.33,FALSE
472908497,31,"female",FALSE,"Flowers-Chinese IAT","rmts first",-0.711,0.099,43.8,"fail",4.83,685,94.17,FALSE,560,96,FALSE
477099693,35,"female",FALSE,"Insects-Chinese IAT","rmts first",-0.451,0.542,100,"pass",4.83,993,93.33,FALSE,753,96,FALSE
479141539,28,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.236,-0.496,43.8,"fail",5.67,726,85.83,FALSE,634,88,FALSE
479262982,38,"female",FALSE,"Insects-Chinese IAT","rmts first",-0.2,-0.406,50,"fail",3.83,707,100,FALSE,597,99.33,FALSE
480282262,35,"male",FALSE,"Insects-Chinese IAT","rmts first",0.031,0.165,43.8,"fail",4.5,1185,94.17,FALSE,966,96,FALSE
485285880,54,"female",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.648,0.364,50,"fail",5,871,95.83,FALSE,754,98.67,FALSE
488211867,24,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",0.001,-0.072,31.2,"fail",5,1389,93.28,FALSE,984,94,FALSE
493095005,34,"female",FALSE,"Insects-Chinese IAT","rmts first",-0.993,0.326,25,"fail",5,740,97.5,FALSE,623,96,FALSE
497256242,38,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.728,0.149,68.8,"fail",3,789,96.67,FALSE,693,92.67,FALSE
498755454,52,"male",FALSE,"Insects-Chinese IAT","rmts first",0.781,0.225,56.2,"fail",5.17,778,91.67,FALSE,642,98.67,FALSE
502702267,37,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.129,-0.259,50,"fail",3.67,726,96.67,FALSE,569,96,FALSE
505304615,28,"female",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.42,0.51,31.2,"fail",5,673,96.67,FALSE,795,94,FALSE
511794391,19,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.619,0.069,50,"fail",4.67,787,94.17,FALSE,958,100,FALSE
517718713,32,"male",FALSE,"Flowers-Chinese IAT","rmts first",-1.136,-0.086,43.8,"fail",3.17,726,98.33,FALSE,592,98,FALSE
519411578,23,"male",FALSE,"Flowers-Chinese IAT","rmts first",0.038,-0.493,50,"fail",4,647,85,FALSE,548,83.33,FALSE
519814293,38,"male",FALSE,"Insects-Chinese IAT","rmts first",-0.504,0.169,50,"fail",4.17,757,89.17,FALSE,629,94,FALSE
521896519,34,"female",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.32,0.209,50,"fail",5,665,95,FALSE,611,92.67,FALSE
525584548,25,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.634,-0.148,50,"fail",4,681,90,FALSE,558,81.33,FALSE
525901279,52,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.496,-0.484,100,"pass",3.67,803,100,FALSE,672,100,FALSE
529778266,32,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.634,-0.203,62.5,"fail",4.17,751,90.83,FALSE,578,97.33,FALSE
530730367,24,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",-0.052,-0.022,50,"fail",4.67,654,96.67,FALSE,574,98.67,FALSE
537108713,18,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.429,-0.272,50,"fail",4,738,81.67,FALSE,677,84,FALSE
539496194,34,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.103,-0.083,43.8,"fail",2.33,770,90,FALSE,646,92.67,FALSE
539751003,35,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",0.045,0.254,50,"fail",3.5,722,88.33,FALSE,617,96,FALSE
541895384,29,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.393,0.011,50,"fail",4,772,80,FALSE,589,86,FALSE
557194628,45,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.403,0.023,43.8,"fail",2.83,933,100,FALSE,747,99.33,FALSE
558276196,36,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.723,-0.393,56.2,"fail",5,984,97.5,FALSE,656,96.67,FALSE
559287318,20,"male",FALSE,"Insects-Chinese IAT","rmts first",0.59,-0.065,62.5,"fail",5,688,95,FALSE,591,97.33,FALSE
566998704,21,"female",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.125,-0.205,62.5,"fail",3.83,587,90.83,FALSE,507,90,FALSE
568262582,32,"male",FALSE,"Insects-Chinese IAT","rmts first",0.038,0.606,43.8,"fail",5.67,625,95.83,FALSE,601,98,FALSE
576824149,32,"female",FALSE,"Insects-Chinese IAT","rmts first",-0.19,0.398,37.5,"fail",4.17,1102,95,FALSE,877,94,FALSE
578969310,51,"female",FALSE,"Insects-Chinese IAT","rmts first",-0.769,-0.107,68.8,"fail",5.17,659,90,FALSE,574,90,FALSE
582580255,25,"female",FALSE,"Insects-Chinese IAT","evaluation tasks first",-0.222,0.026,56.2,"fail",3.83,730,88.33,FALSE,718,86,FALSE
584142627,50,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-1.106,0.056,56.2,"fail",4,740,96.67,FALSE,575,99.33,FALSE
586906512,28,"female",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.113,0.214,NA,NA,3.5,611,97.5,FALSE,512,99.33,FALSE
587946902,32,"male",FALSE,"Insects-Chinese IAT","rmts first",-0.006,0.337,12.5,"fail",4.67,812,94.17,FALSE,679,93.33,FALSE
